date	description
2026-05-01	_Attention_ at [University of Zurich](https://www.uzh.ch/en.html) (Lecture, Master 2)
2025-10-01	_AI4Good group projects_ at [University of Zurich](https://www.uzh.ch/en.html) (Labs, Master 2)
2025-05-01	_Attention_ at [University of Zurich](https://www.uzh.ch/en.html) (Lecture, Master 2)
2024-05-01	_Attention, NeRFs, and Diffusion_ at [University of Zurich](https://www.uzh.ch/en.html) (Lecture and labs, Master 2)
2023-01-01	_Deep Learning for Remote Sensing_ at [ENSG](https://www.ensg.eu/) (Lecture, Master 2)
2022-06-01	_3D Deep Learning for Remote Sensing_ at [ISPRS'22](https://www.isprs2022-nice.com/) (Tutorial)
2022-05-01	_3D Deep Learning, Torch-Points3D & DeepViewAgg_ at [ENGIE Lab CRIGEN](https://www.engie.com/en/innovation-transition-energetique/centres-de-recherche/crigen) (Tutorial)
2022-01-01	_Deep Learning for Remote Sensing_ at [ENSG](https://www.ensg.eu/) (Lecture, Master 2)
2020-11-01	_Deep Learning for Computer Vision_ at [Ecole Polytechnique](https://www.polytechnique.edu/) (Lecture, Master 1)
